Timestamp (UTC),Bot ID,Wallet,Type,Mint (full),SOL Delta,Token Delta,Transaction Hash,Slot
2026-06-29T08:27:03.000Z,BOT-339,HnEm9jYrm5mHTqMUwfdWXB2pgxuUCk84aNjR5tiFeBAY,BUY,AKr5cpCFfQpNA6pSVLxkUVkVfrEnVk9ht4kNsaGd7V1M,-0.006182,3.50,sNnK5eUGSav5WwsYov9Tm4CNPW8jn6s2R6utJ7246pjMMN2UndrgZpDNaoCPyPyYbs8Za7Qk6JrZbG4mA4z11Qd,429629667
2026-06-29T08:20:57.000Z,BOT-342,CvZLwewDNceRNUJwXAhNTMZaHHrWyja1XuDP8yacuYFQ,BUY,AKr5cpCFfQpNA6pSVLxkUVkVfrEnVk9ht4kNsaGd7V1M,-0.006182,3.50,NJPE9v9nJiKD9VbNv338kSxoFgk6QnsSDYHEGrpCZTduXqvQR2zT5zTn2Mm3QMuBuofuF1HoBhautJoj6hMR2tT,429628761
2026-06-29T08:20:19.000Z,BOT-380,Gs4k8wNTUY36B6QPdxcvYf7p4n3FctSZhFLoCUcifpCj,BUY,AKr5cpCFfQpNA6pSVLxkUVkVfrEnVk9ht4kNsaGd7V1M,-0.043101,35.00,5Wn5txfx3dVGYQoLwxAEw3JDfQxhzMA3SNKsuvN3eRGV8JUcZ9bCquZc2u9s7sH7qTkVdV75ddBvMKsLHcafmEtC,429628664
2026-06-29T08:19:03.000Z,BOT-317,H9k7BeQBiM93PG88MK48MkdMneHTtDaLsiME18YDzJ5H,BUY,AKr5cpCFfQpNA6pSVLxkUVkVfrEnVk9ht4kNsaGd7V1M,-0.034896,28.00,5GHbFQsxY3SfdJXSw4JS3PdGo6bdQX9tmkRH94948Qj5Ut1c5CV2AGn9MgtgwoMJ42HbaXUWPS56mJ38sGpimcxQ,429628479
2026-06-29T08:12:38.000Z,BOT-395,5wyCmASBN5xBeW7MaHC3Zv6Cy21ebHrMN27hGGuLiQjp,BUY,AKr5cpCFfQpNA6pSVLxkUVkVfrEnVk9ht4kNsaGd7V1M,-0.006182,3.50,sJLsgKjFZmV8ex3VzCfzmXQ9DLSVmfm9MLxXV51g9iGsr4y2mKJg32RJNx2Ut6JCNbyXebKhnfy9c2MQVk449Ss,429627529
2026-06-29T08:01:43.000Z,BOT-362,GQvGMbVev4fdsNVtz8XGDH9AqFyQGGNPmNQr5N36gssg,BUY,AKr5cpCFfQpNA6pSVLxkUVkVfrEnVk9ht4kNsaGd7V1M,-0.015066,12.85,63yxUHZ8irH8uLQiywQNJs2aghkiHTNq1a3JXBJTnco5SRYjnC3NqiUKckdjQ8xaDMdoGuUsT5k138QqEpBeQT9g,429625905
2026-06-29T08:01:24.000Z,BOT-362,GQvGMbVev4fdsNVtz8XGDH9AqFyQGGNPmNQr5N36gssg,BUY,AKr5cpCFfQpNA6pSVLxkUVkVfrEnVk9ht4kNsaGd7V1M,-0.017140,12.85,1xC3zpuGtWDkiNo5au9zGKG7zvXEkS72swBGp4p1MjmftJYubRG8G96bSKLeEj2wboRhzEPzqdJnH1YfPFpmsJS,429625857
2026-06-29T07:58:07.000Z,BOT-364,8npNfCFcXYwukieHWbD1P4teQ5DC6AYYZ8yfZppUsMsZ,BUY,AKr5cpCFfQpNA6pSVLxkUVkVfrEnVk9ht4kNsaGd7V1M,-0.012370,10.55,5CqiCEtberyYHAtbTWoxf7pjb5RrmZzPKVxyrbvnKNySsdYbBt8Kiy7Gb7SnbSJtf2JcvykLxAPNeX1pv2w21dsM,429625358
2026-06-29T07:57:41.000Z,BOT-364,8npNfCFcXYwukieHWbD1P4teQ5DC6AYYZ8yfZppUsMsZ,BUY,AKr5cpCFfQpNA6pSVLxkUVkVfrEnVk9ht4kNsaGd7V1M,-0.014444,10.55,pG3PVquuevteR1CFe84iUB7xvpsW3G5nLbP6ckFumcVSKd8WyzFL5riyjrEdp47Kc88tNxpZT5WtfNQCLzKvB2X,429625290
2026-06-29T07:41:21.000Z,BOT-332,C2ZrgUVyCWoTZT2NUj6irVig54uFHg1EvCSLjCBxfCiE,BUY,AKr5cpCFfQpNA6pSVLxkUVkVfrEnVk9ht4kNsaGd7V1M,-0.006181,3.50,Ea5JduamKbMCbTXiBUbRiVsud3ULsSJCnGWfEAd9CNqiHGddxmxFFv5m2vJNDRyF2jpGX75ZHqcUTDkiksK9Yfj,429622868
2026-06-29T07:38:24.000Z,BOT-144,3feWxv2pe53WXyL9oHsF9hrafnPD7Q7QUz3QwKzMadsd,BUY,AKr5cpCFfQpNA6pSVLxkUVkVfrEnVk9ht4kNsaGd7V1M,-0.018229,15.55,3BncpWUcoDhc1NEU6LNCE4h7hTNaD3ysPVBGvcfUw6x9Gafi7gMUwRFhhrAaMk5AVu3Y1TfQfT91AAqMKtWTtfdM,429622426
2026-06-29T07:37:25.000Z,BOT-206,6bPNgSjRcWehgK3jKRVyxZko4marzGAMAv2jyfbdDLiH,BUY,AKr5cpCFfQpNA6pSVLxkUVkVfrEnVk9ht4kNsaGd7V1M,-0.017760,15.15,NkYF1jxKBCDX2WdxEAsf53LCeyjio3uRQFkv5AdHxnjaRKUPxPnBYts5tJRDGUJtKDJwmhTPgivLU6mcnngdRy5,429622274
2026-06-29T07:37:02.000Z,BOT-144,3feWxv2pe53WXyL9oHsF9hrafnPD7Q7QUz3QwKzMadsd,BUY,AKr5cpCFfQpNA6pSVLxkUVkVfrEnVk9ht4kNsaGd7V1M,-0.020303,15.55,c2EjrzWruh4c5Muja4ftCo3WDo8Q5VnqgPmo1L99iYBGKiYHpCCkyQRRwbbyypamK1M5JHfJ8oYPXMVoz8DSnQo,429622216
2026-06-29T07:36:59.000Z,BOT-206,6bPNgSjRcWehgK3jKRVyxZko4marzGAMAv2jyfbdDLiH,BUY,AKr5cpCFfQpNA6pSVLxkUVkVfrEnVk9ht4kNsaGd7V1M,-0.019834,15.15,56xRSETiy5CaBGWJTcHFSCXh9Z7urVxmsiDPKFzqNkX3cWtXzjvzkHi8SFvnZ7KtV9tJ3KB8SSsnkEHZzFehB2av,429622207
2026-06-29T07:36:14.000Z,BOT-311,4txfevesxdF2xbXZHUcRw7ZJGCQzTCEyA64qcgsgzGtT,BUY,AKr5cpCFfQpNA6pSVLxkUVkVfrEnVk9ht4kNsaGd7V1M,-0.006181,3.50,33DYcy163fT8cm7tVRURsRyXX49TW1drpBuvijqCdgcs9BtARTuuL5KZEDB8mufGriNmZiaQ4jFhmXHXwUdLrtbJ,429622094
2026-06-29T07:35:26.000Z,BOT-200,FeAaqnaWSumbyjV31CaZLXWPedmM2BV3agV5jVwg5Uwu,BUY,AKr5cpCFfQpNA6pSVLxkUVkVfrEnVk9ht4kNsaGd7V1M,-0.006181,3.50,27mFCN8LpaeEMMYGhWqoYCn2ZT8fjqvaLXHaohe8i3cPHAPAnRzRaFD8uGFHpnxPU2UBhsxLVkphZgVpxy2ya8QL,429621972
2026-06-29T07:33:18.000Z,BOT-360,7yAjiESAA6d6WSKtgu6nnQ9WvXE7voZTXZsuJN5egaPi,BUY,AKr5cpCFfQpNA6pSVLxkUVkVfrEnVk9ht4kNsaGd7V1M,-0.026689,21.00,a2hV7BzRb6Emv1yZ2XR5yzietczkrD2hpYugJiKt7UiqTkv4Jf7xHitep1Q7JYiT6UminZyozC4DwYQPYXZNQuv,429621661
2026-06-29T07:27:12.000Z,BOT-137,BiA3txSWB9QEky8CAzvgX373ZJmZRLFRZEAqsZzWCBDj,BUY,AKr5cpCFfQpNA6pSVLxkUVkVfrEnVk9ht4kNsaGd7V1M,-0.006181,3.50,2bjrhkSPMcmHcwnrCNcTEUEf5wFwKgRr3bE3385o5K1RSK47CyfzEWRWxWDxDWn5prE5m5Ey1KAgLpa71cHcMjch,429620761
2026-06-29T07:25:59.000Z,BOT-333,8dRXGi3rpngVwzMJcLz2JsoMvHLRCfguUckfMGnVBeYQ,BUY,AKr5cpCFfQpNA6pSVLxkUVkVfrEnVk9ht4kNsaGd7V1M,-0.006181,3.50,ftTBmj6iUPwPCmwbsX3WjmfNCGsHDNF4NKbaLPoMVb2BkVrMvY14NX4Tpcb1wFGxKLrcjU2pZ55sBAdRFYCER5Z,429620577
